City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,keflavik,64.0049,-22.5624,9.95,93,100,5.66,IS,1723655708
84,waitangi,-43.9535,-176.5597,9.9,89,28,4.47,NZ,1723655709
85,canillo,42.5833,1.6667,14.69,100,87,3.45,AD,1723655710
86,puerto natales,-51.7236,-72.4875,8.25,66,0,0.51,CL,1723655712
87,zemio,5.0314,25.1361,20.19,97,100,1.69,CF,1723655713
88,puerto baquerizo moreno,-0.9,-89.6,21.55,68,100,4.12,EC,1723655715
89,sitka,57.0531,-135.33,13.94,72,75,2.06,US,1723655490
90,scarborough,54.2797,-0.4044,19.76,72,22,3.63,GB,1723655717
91,novodvinsk,64.4165,40.8122,11.86,49,66,3.61,RU,1723655719
92,la passe,45.5549,-0.8967,23.13,58,38,6.85,FR,1723655720
93,san patricio,28.017,-97.5169,34.39,48,99,4.97,US,1723655722
94,margaret river,-33.95,115.0667,13.09,65,100,8.7,AU,1723655723
95,st. john's,47.5649,-52.7093,16.2,74,75,5.14,CA,1723655725
96,bilibino,68.0546,166.4372,-0.01,98,100,2.86,RU,1723655726
97,andergrove,-21.0833,149.1833,17.03,87,2,1.86,AU,1723655727
98,hilo,19.7297,-155.09,22.84,81,40,3.09,US,1723655729
99,iqaluit,63.7506,-68.5145,12.85,62,40,10.8,CA,1723655730
100,merizo village,13.2658,144.6691,26.85,80,100,5.56,GU,1723655732
101,sayaxche,16.5167,-90.1667,24.59,97,100,0.41,GT,1723655733
102,acapulco de juarez,16.8634,-99.8901,28.9,79,75,3.09,MX,1723655735
103,st anne,49.715,-2.2042,19.25,94,40,4.12,GG,1723655737
104,avarua,-21.2078,-159.775,22.03,60,40,5.66,CK,1723655739
105,touros,-5.1989,-35.4608,27.94,58,0,9.16,BR,1723655740
106,port-gentil,-0.7193,8.7815,23.87,85,88,4.17,GA,1723655742
107,hawaiian paradise park,19.5933,-154.9731,22.72,84,40,3.09,US,1723655743
108,upington,-28.4478,21.2561,14.21,35,0,2.57,ZA,1723655746
109,peace river,56.2501,-117.286,15.17,88,100,2.06,CA,1723655749
110,san antonio de pale,-1.4014,5.6325,23.12,82,41,3.68,GQ,1723655750
111,saudarkrokur,65.7461,-19.6394,10.59,82,91,4.27,IS,1723655752
112,luderitz,-26.6481,15.1594,18.65,50,0,8.83,NA,1723655754
113,bredasdorp,-34.5322,20.0403,9.56,71,83,3.38,ZA,1723655756
114,archidona,37.0965,-4.3887,31.47,34,2,0.45,ES,1723655758
115,zarand,30.8127,56.564,34.44,14,57,3.14,IR,1723655759
116,qaqortoq,60.7167,-46.0333,7.47,70,29,2.39,GL,1723655760
117,tiksi,71.6872,128.8694,5.56,71,100,2.93,RU,1723655762
